타임스탬프,학년,성별,학과(전공),취미,평균 공부 시간,공부하는 시간,자격증 개수,출석,평균 수면 시간,희망 진로,수업 집중도,수업 집중도(전공),희망 연봉,학과 만족 O/X,취업 선호도,소셜 미디어 사용시간,통학 시간,학업 스트레스,교우관계,알바 유무,방과후 유무,방과후 만족도
2023. 10. 12 오후 2:05:00,2학년,남자,소프트웨어개발과,게임,2시간-3시간 이상,밤,4,절대 안빠지죠,4~6시간 자요,취업,5,5,잘 모르겠다,O,7,1시간-2시간,30-1시간,3,1,X,O(아래 질문에 답변해주세요!),7
2023. 10. 12 오후 2:33:14,3학년,여자,금융경영과,기타,2시간-3시간 이상,방과후(저녁),9,절대 안빠지죠,6시간 이상 자요,취업,8,9,"3,000이상",O,10,2시간-3시간 이상,10-30분,3,3,X,X,
2023. 10. 12 오후 2:41:31,2학년,남자,창업마케팅과,운동,2시간-3시간 이상,방과후(저녁),3,절대 안빠지죠,2~4시간 자요,아직 모르겠다,5,5,2000,X,0,1시간-2시간,10-30분,3,2,O,O(아래 질문에 답변해주세요!),9
2023. 10. 12 오후 2:42:22,2학년,남자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),4,절대 안빠지죠,4~6시간 자요,취업,7,9,4000,O,10,2시간-3시간 이상,30-1시간,2,1,X,O(아래 질문에 답변해주세요!),7
2023. 10. 12 오후 2:43:13,2학년,남자,스마트웹콘텐츠과,운동,0-30분,기타,4,한달에 한두번 빠져요,4~6시간 자요,아직 모르겠다,4,6,4000?,O,4,2시간-3시간 이상,30-1시간,2,2,X,X,
2023. 10. 12 오후 2:43:33,2학년,여자,스마트웹콘텐츠과,음악,30분-1시간,방과후(저녁),3,한달에 한두번 빠져요,4~6시간 자요,아직 모르겠다,7,7,3000,O,7,1시간-2시간,10-30분,3,2,X,O(아래 질문에 답변해주세요!),7
2023. 10. 12 오후 2:44:09,2학년,여자,스마트웹콘텐츠과,영상시청,1시간-2시간,밤,6,절대 안빠지죠,2~4시간 자요,대학교 진학,8,6,3500,O,7,2시간-3시간 이상,10-30분,2,2,X,O(아래 질문에 답변해주세요!),4
2023. 10. 12 오후 2:45:00,2학년,남자,스마트웹콘텐츠과,운동,0-30분,방과후(저녁),4,절대 안빠지죠,6시간 이상 자요,아직 모르겠다,10,10,4000,O,9,30-1시간,10-30분,1,1,X,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 2:45:40,2학년,남자,스마트웹콘텐츠과,운동,0-30분,기타,10개 이상,1년에 한두번 빠져요,6시간 이상 자요,아직 모르겠다,5,1,1억이상,X,0,0-30분,30-1시간,1,1,O,X,1
2023. 10. 12 오후 2:46:37,2학년,남자,스마트웹콘텐츠과,영상시청,0-30분,방과후(저녁),4,절대 안빠지죠,6시간 이상 자요,취업,7,10,4천만 원,O,10,0-30분,30-1시간,1,1,O,O(아래 질문에 답변해주세요!),10
2023. 10. 12 오후 2:46:58,2학년,여자,스마트웹콘텐츠과,예술,1시간-2시간,밤,5,절대 안빠지죠,4~6시간 자요,취업,7,9,3600만원,O,5,2시간-3시간 이상,30-1시간,4,3,X,X,
2023. 10. 12 오후 2:47:41,2학년,남자,스마트웹콘텐츠과,운동,0-30분,기타,3,한달에 한두번 빠져요,2~4시간 자요,취업,8,8,4000만원,O,10,0-30분,10-30분,3,2,X,O(아래 질문에 답변해주세요!),9
2023. 10. 12 오후 2:48:20,2학년,남자,스마트웹콘텐츠과,음악,0-30분,방과후(저녁),4,절대 안빠지죠,4~6시간 자요,대학교 진학,5,5,4000,O,5,0-30분,10-30분,2,2,O,O(아래 질문에 답변해주세요!),2
2023. 10. 12 오후 2:48:26,2학년,남자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),4,절대 안빠지죠,6시간 이상 자요,취업,4,7,3000천만원,O,4,30-1시간,10-30분,2,1,X,O(아래 질문에 답변해주세요!),5
2023. 10. 12 오후 2:49:18,2학년,여자,스마트웹콘텐츠과,영상시청,0-30분,기타,5,절대 안빠지죠,6시간 이상 자요,아직 모르겠다,4,4,1억,O,5,30-1시간,10-30분,2,2,X,O(아래 질문에 답변해주세요!),4
2023. 10. 12 오후 2:49:30,2학년,남자,스마트웹콘텐츠과,게임,30분-1시간,방과후(저녁),4,절대 안빠지죠,6시간 이상 자요,아직 모르겠다,5,5,3천,X,3,30-1시간,10-30분,4,3,O,O(아래 질문에 답변해주세요!),1
2023. 10. 12 오후 2:49:46,2학년,남자,스마트웹콘텐츠과,음악,30분-1시간,방과후(저녁),4,절대 안빠지죠,6시간 이상 자요,아직 모르겠다,8,9,잘 모르겠습니다,O,7,30-1시간,30-1시간,2,2,X,O(아래 질문에 답변해주세요!),9
2023. 10. 12 오후 2:50:06,2학년,남자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),4,반년에 한두번 빠져요,4~6시간 자요,대학교 진학,5,5,3천,X,4,1시간-2시간,30-1시간,2,3,X,X,
2023. 10. 12 오후 2:50:26,2학년,남자,스마트웹콘텐츠과,게임,0-30분,기타,1,한달에 한두번 빠져요,4~6시간 자요,아직 모르겠다,6,7,모르겠습니다,O,4,0-30분,10-30분,1,3,X,X,3
2023. 10. 12 오후 2:53:46,2학년,남자,스마트웹콘텐츠과,영상시청,0-30분,방과후(저녁),4,1년에 한두번 빠져요,4~6시간 자요,아직 모르겠다,7,8,"30,000,000",O,8,2시간-3시간 이상,10-30분,2,2,X,O(아래 질문에 답변해주세요!),8
2023. 10. 12 오후 3:08:25,2학년,남자,스마트웹콘텐츠과,게임,0-30분,방과후(저녁),4,절대 안빠지죠,6시간 이상 자요,취업,6,8,3천만원,O,7,1시간-2시간,10-30분,4,2,O,O(아래 질문에 답변해주세요!),1
2023. 10. 12 오후 3:12:59,2학년,여자,스마트웹콘텐츠과,예술,30분-1시간,밤,4,한달에 한두번 이상 빠져요,6시간 이상 자요,대학교 진학,5,8,2000,O,10,2시간-3시간 이상,10-30분,3,4,X,X,3
2023. 10. 12 오후 3:13:50,3학년,여자,금융경영과,음악,30분-1시간,방과후(저녁),6,1년에 한두번 빠져요,6시간 이상 자요,대학교 진학,7,7,3000,O,7,1시간-2시간,30-1시간,3,1,X,X,
2023. 10. 12 오후 3:16:29,1학년,여자,창업마케팅과,음악,1시간-2시간,밤,1,한달에 한두번 빠져요,2~4시간 자요,아직 모르겠다,5,4,풀음 아직 잘모르겠습니다,O,4,30-1시간,1시간-2시간,4,2,X,X,5
2023. 10. 12 오후 3:42:14,2학년,여자,스마트웹콘텐츠과,예술,0-30분,밤,5,한달에 한두번 빠져요,4~6시간 자요,아직 모르겠다,2,4,400,O,5,2시간-3시간 이상,10-30분,2,2,O,X,5
2023. 10. 12 오후 3:46:07,1학년,남자,소프트웨어개발과,게임,2시간-3시간 이상,기타,2,한달에 한두번 이상 빠져요,6시간 이상 자요,취업,3,4,1억,O,10,2시간-3시간 이상,2시간 이상,2,3,X,X,1
2023. 10. 12 오후 3:46:13,2학년,여자,창업마케팅과,운동,2시간-3시간 이상,밤,5,한달에 한두번 빠져요,4~6시간 자요,아직 모르겠다,5,8,아직 모르겠다,O,6,2시간-3시간 이상,30-1시간,4,4,X,O(아래 질문에 답변해주세요!),7
2023. 10. 12 오후 3:46:13,2학년,남자,소프트웨어개발과,게임,30분-1시간,밤,1,절대 안빠지죠,4~6시간 자요,취업,7,8,6000만원,O,8,1시간-2시간,1시간-2시간,3,1,X,O(아래 질문에 답변해주세요!),7
2023. 10. 12 오후 3:46:14,1학년,여자,스마트웹콘텐츠과,기타,0-30분,방과후(저녁),1,절대 안빠지죠,6시간 이상 자요,취업,5,6,모르겠음,X,5,2시간-3시간 이상,10-30분,4,3,X,O(아래 질문에 답변해주세요!),5
2023. 10. 12 오후 3:46:33,1학년,남자,스마트웹콘텐츠과,운동,2시간-3시간 이상,방과후(저녁),2,절대 안빠지죠,6시간 이상 자요,대학교 진학,10,10,3000천 이상,O,10,2시간-3시간 이상,30-1시간,2,1,O,O(아래 질문에 답변해주세요!),10
